"Data","RT","AVA","IP"
"1","6","-1870.94717","5327.778"
"2","6","-1853.24723","5328.56806"
"3","6","-1835.43085","5329.36332"
"4","6","-1826.23154","5329.77394"
"5","6","-1817.73091","5330.15338"
"6","5","-1800.03098","5330.94344"
"7","5","-1782.2146","5331.7387"
"8","5","-1764.51466","5332.52877"
"9","5","-1754.03444","5332.99657"
"10","5","-1746.69828","5333.32403"
"11","5","-1728.99834","5334.11409"
"12","5","-1711.29841","5334.90415"
"13","5","-1693.48203","5335.69941"
"14","5","-1675.78209","5336.48947"
"15","5","-1657.96571","5337.28473"
"16","5","-1640.26577","5338.07479"
"17","5","-1630.16004","5338.52588"
"18","5","-1622.56584","5337.21196"
"19","5","-1604.74945","5334.12945"
"20","5","-1587.04952","5331.06709"
"21","6","-1569.23314","5327.98457"
"22","6","-1551.5332","5324.92221"
"23","6","-1533.94971","5321.87999"
"24","6","-1533.83327","5321.85984"
"25","6","-1516.01688","5318.77733"
"26","6","-1498.31695","5315.71497"
"27","6","-1483.49316","5313.15022"
"28","6","-1473.46033","5312.63245"
"29","6","-1473.06994","5312.61231"
"30","6","-1414.12039","5309.57009"
"31","6","-1402.79895","5308.98582"
"32","6","-1354.78045","5306.50772"
"33","6","-1316.91219","5304.55345"
"34","6","-1295.05011","5303.42521"
"35","6","-1235.71017","5300.36285"
"36","6","-1175.97983","5297.28033"
"37","6","-1116.63989","5294.21797"
"38","6","-1057.29995","5291.1556"
"39","6","-997.56962","5288.07309"
"40","6","-938.22967","5285.01073"
"41","6","-878.49934","5281.92821"
"42","6","-871.86263","5281.58571"
"43","6","-819.1594","5278.86585"
"44","6","-778.16799","5276.7504"
"45","6","-759.81946","5275.80348"
"46","5","-700.08912","5272.72097"
"47","5","-640.74918","5269.65861"
"48","5","-581.01884","5266.57609"
"49","5","-521.6789","5263.51373"
"50","5","-490.36966","5261.89795"
"51","5","-462.33896","5262.4497"
"52","5","-402.60862","5263.62541"
"53","5","-343.26868","5264.79343"
"54","5","-283.53835","5265.96914"
"55","5","-224.19841","5267.13717"
"56","5","-164.85846","5268.3052"
"57","5","-105.12813","5269.48091"
"58","5","-45.78819 5","270.64893"
"59","5","13.94215 5.","71.82464"
"60","5","16.06465 5.","71.86642"
"61","5","45.56093 5.","72.99267"
"62","5","76.15138 5.","74.1607"
"63","5","106.94309 5","275.33641"
"64","5","137.53354 5","276.50443"
